Individual,Fitness_0,Fitness_25,Fitness_50,Fitness_75,Fitness_100,Fitness_125,Fitness_150,Fitness_175
machine_replacement_cooldown/machine_capacity+warehouse_utilization_rate+job_remaining_number_of_operations>{1.0}-machine_capacity-pair_number_of_alternative_operations*pair_number_of_alternative_machines+operation_cooldown>job_time_alive*operation_windup*job_delivery_relaxation*pair_expected_work_power/job_remaining_number_of_operations/machine_replacement_cooldown*job_lateness_penalty,312.2092210423678,389.1020092328745,343.7332439252768,300.445544674894,345.67766337652944,306.128360166754,351.7490179242101,336.7110295640448
machine_replacement_cooldown<warehouse_utilization_rate+pair_number_of_alternative_machines<job_remaining_number_of_operations<machine_replacement_cooldown-job_remaining_number_of_operations-operation_windup>job_remaining_number_of_operations+job_remaining_number_of_operations-machine_cooldown*{1.0}+pair_expected_work_power*{-7.0}>{14.0}-operation_work_required<{2.0},549.6606614927961,1321.0056382370426,374.3894821857362,801.8215204855186,414.9801392191644,424.9342900544302,571.8583318603196,457.7865453523462
operation_windup+pair_expected_processing_time<operation_cooldown-job_time_alive/{5.0}<pair_number_of_alternative_machines-{4.0}*operation_work_required/job_remaining_number_of_operations+pair_number_of_alternative_operations>machine_capacity>machine_cooldown-operation_cooldown-machine_replacement_cooldown<pair_number_of_alternative_machines/job_time_alive,376.1472732206026,931.1395113334044,333.4537798028942,488.2501307893649,339.3897020207901,344.1692155687476,337.48513571447216,339.8686173673346
pair_expected_processing_time/operation_cooldown>job_time_alive*machine_replacement_cooldown*machine_cooldown<pair_expected_work_power+{-14.0}+{-10.0}/job_delivery_relaxation-warehouse_utilization_rate>{5.0}>{-12.0}*pair_expected_processing_time>{4.0}-{3.0}-job_relative_deadline,524.8890166932657,824.9205938589698,360.0671432601646,524.9539715495638,414.4122034838876,426.7235917390474,380.7501030319996,370.2034205063909
pair_number_of_alternative_machines*operation_windup*job_earliness_penalty+machine_cooldown*{-9.0}+machine_current_breakdown_rate>machine_replacement_cooldown/pair_number_of_alternative_operations>job_relative_deadline+machine_replacement_cooldown/operation_windup>machine_current_breakdown_rate-job_remaining_work_to_complete<operation_cooldown>job_lateness_penalty>machine_capacity,310.66995813523414,387.9873910022043,344.5545983518509,295.5190336994299,335.1986629621551,303.2547625381339,350.20493190020034,338.0231496542049
pair_number_of_alternative_machines+machine_capacity>pair_number_of_alternative_operations-operation_windup/operation_work_required>job_remaining_number_of_operations-operation_work_required/machine_cooldown*job_time_alive>{12.0}<job_remaining_number_of_operations/{-9.0}*pair_expected_work_power*warehouse_utilization_rate*job_lateness_penalty>job_remaining_number_of_operations,310.53380875640806,382.6295860251168,341.37041164644467,302.88580171841494,332.96847005505896,303.4242346155489,335.66596869563017,330.62511865609224
pair_number_of_alternative_machines+machine_replacement_cooldown-job_lateness_penalty+operation_cooldown>job_lateness_penalty*machine_current_breakdown_rate-{-6.0}>pair_number_of_alternative_operations+pair_number_of_alternative_operations<machine_current_breakdown_rate<warehouse_utilization_rate>operation_cooldown*job_time_alive+machine_replacement_cooldown>{-5.0}+pair_number_of_alternative_operations,313.688597759874,392.77968471095767,346.1347629401503,294.1752211995041,335.32851739372006,302.03627703535085,347.60805040035933,339.0057119190502
pair_number_of_alternative_machines+operation_cooldown+job_remaining_work_to_complete-machine_cooldown/pair_number_of_alternative_operations<{-4.0}-job_earliness_penalty*machine_capacity-machine_cooldown<pair_number_of_alternative_machines/{12.0}<pair_expected_processing_time<job_time_alive/pair_expected_work_power*job_time_alive+{-4.0},709.6316117253426,2816.672584386097,392.7638370161383,1085.3846766115944,391.2648184206798,510.6508013041912,398.2045225990252,452.6075397231731
pair_number_of_alternative_machines/{-12.0}<warehouse_utilization_rate>{-9.0}-{-15.0}*machine_capacity+job_remaining_work_to_complete+machine_replacement_cooldown-job_lateness_penalty-job_relative_deadline-pair_expected_processing_time*job_time_alive>operation_work_required+pair_number_of_alternative_machines>pair_expected_work_power<warehouse_utilization_rate,829.0932863576111,2929.8157115623017,414.5498233329635,1638.7328633615518,433.3431757779425,665.2202620035537,433.0077348140581,511.2250651280808
pair_number_of_alternative_operations<operation_work_required/job_remaining_number_of_operations+job_time_alive-job_time_alive>machine_capacity-warehouse_utilization_rate-operation_work_required+operation_windup/pair_expected_processing_time+machine_replacement_cooldown*operation_work_required*job_earliness_penalty<machine_capacity>pair_number_of_alternative_machines-operation_cooldown,312.42023610317125,382.40232345511976,342.32081328922624,294.9713499084445,342.52570331614635,307.2349260091851,339.65204856539003,323.9694474688786
{-1.0}/machine_replacement_cooldown>operation_work_required*operation_work_required-operation_work_required+pair_expected_work_power+operation_cooldown+{-4.0}*{12.0}-machine_capacity+job_delivery_relaxation/machine_capacity-machine_cooldown/operation_work_required<pair_number_of_alternative_operations*job_delivery_relaxation,326.20505543804524,399.3302966177868,343.7318559847911,302.9494307868593,336.8010574065777,310.3305219197633,341.31006918589134,335.80402018201886
{-10.0}/pair_number_of_alternative_operations-job_remaining_work_to_complete>machine_capacity/{0.0}+pair_expected_processing_time>job_remaining_work_to_complete+operation_windup<pair_number_of_alternative_operations*{0.0}>job_delivery_relaxation>{-8.0}>operation_cooldown-operation_work_required<operation_work_required-{10.0},431.0237542572021,1461.300702235389,343.9086362098136,768.373992561162,346.3533082232419,396.94593536132686,333.29979121428426,323.9130023839856
{-12.0}>pair_number_of_alternative_operations-job_lateness_penalty-{-10.0}-pair_expected_processing_time<machine_capacity*machine_current_breakdown_rate<warehouse_utilization_rate<job_delivery_relaxation<machine_capacity/machine_current_breakdown_rate+operation_windup>{2.0}*job_time_alive<{-7.0}+{-12.0},530.5371214703106,1377.17811372829,343.71919821625903,987.5138867205962,355.5966831410669,419.144275662463,370.9830451055647,354.53032397642875
{-14.0}<operation_cooldown/{14.0}+warehouse_utilization_rate>job_relative_deadline+warehouse_utilization_rate>pair_number_of_alternative_machines+operation_cooldown*machine_current_breakdown_rate>operation_work_required-pair_expected_processing_time+machine_capacity-pair_expected_work_power/pair_expected_work_power+machine_replacement_cooldown+job_time_alive,518.6452202525963,1182.2927966228713,339.3319152054175,838.9679837011169,339.1346025470125,374.1189683504071,328.8951467349308,343.5333784480918
{0.0}<pair_expected_processing_time<warehouse_utilization_rate-machine_replacement_cooldown<job_remaining_work_to_complete-job_delivery_relaxation<job_relative_deadline>machine_replacement_cooldown>pair_expected_work_power<job_remaining_number_of_operations>machine_capacity*warehouse_utilization_rate-{-1.0}>machine_cooldown+pair_number_of_alternative_operations/{0.0},557.0547236494439,1690.6414938900757,360.86869043576087,895.8250783909485,371.8637003615111,489.6075907803965,379.5793424946924,426.2045637145513
{2.0}-machine_capacity/job_time_alive*{-11.0}-machine_replacement_cooldown-job_relative_deadline/machine_replacement_cooldown/{10.0}-warehouse_utilization_rate>machine_cooldown/warehouse_utilization_rate-pair_expected_work_power*pair_expected_work_power+job_remaining_work_to_complete<{-6.0}+job_remaining_number_of_operations,506.7451461071444,987.912712039232,424.3159724363233,696.0491464627488,424.37479363172463,438.4030466996953,454.1612348307269,431.0303055637506
{4.0}-job_remaining_work_to_complete<job_delivery_relaxation-machine_replacement_cooldown<{-11.0}/machine_cooldown*{10.0}<operation_windup>pair_number_of_alternative_machines>pair_number_of_alternative_operations>job_lateness_penalty+{8.0}>{0.0}<{13.0}*{1.0}*warehouse_utilization_rate,307.393194668329,391.4760492998056,344.85908791790087,291.5822786392145,333.4810178721003,306.48001854593355,351.1507541463642,322.6247402414064
{6.0}/job_delivery_relaxation/machine_replacement_cooldown<job_remaining_number_of_operations/warehouse_utilization_rate<operation_windup+job_lateness_penalty-machine_replacement_cooldown+machine_capacity>machine_cooldown>job_earliness_penalty*machine_current_breakdown_rate>{-8.0}<job_lateness_penalty+machine_capacity-job_earliness_penalty,317.3556185990915,383.371590675436,338.16300566320984,290.77246161113453,336.12767120129536,296.5487204461738,346.46924451699635,333.26123138889784
job_delivery_relaxation-job_lateness_penalty>machine_current_breakdown_rate>job_delivery_relaxation<pair_number_of_alternative_machines<{12.0}/job_lateness_penalty-machine_capacity>job_delivery_relaxation*machine_current_breakdown_rate/pair_number_of_alternative_operations-{-13.0}<operation_cooldown/job_time_alive+job_earliness_penalty+machine_current_breakdown_rate,320.1590459224885,458.7147557425468,337.8704331947696,298.1784874529915,329.7892519509716,310.7128060203476,348.79382889157915,337.21752075838486
job_delivery_relaxation>{-6.0}*operation_windup<operation_cooldown+warehouse_utilization_rate-job_earliness_penalty*job_relative_deadline/warehouse_utilization_rate*machine_current_breakdown_rate*operation_work_required*{0.0}<job_relative_deadline+job_remaining_number_of_operations>job_relative_deadline+warehouse_utilization_rate*pair_expected_work_power,429.5239981494802,1226.4935290684846,318.423938164218,842.5571374933107,308.7334293082279,362.3159437137844,305.8304910290797,303.32316803387545
job_earliness_penalty+machine_capacity*pair_expected_processing_time+job_lateness_penalty*machine_capacity>operation_cooldown>{12.0}-{-4.0}+{11.0}-{10.0}+{2.0}>pair_number_of_alternative_machines/operation_cooldown>{-1.0}<pair_number_of_alternative_machines/machine_replacement_cooldown,304.2928147517068,412.2302517263015,342.49031587481954,288.1316143920069,329.3122615540264,306.1170763600129,331.86006477063484,318.98192199157114
job_earliness_penalty+operation_windup*job_earliness_penalty-machine_replacement_cooldown-operation_work_required-machine_current_breakdown_rate>operation_work_required/machine_current_breakdown_rate-pair_number_of_alternative_operations+machine_capacity/pair_number_of_alternative_machines*job_delivery_relaxation/pair_expected_processing_time-{0.0}-operation_cooldown/operation_work_required,1015.9184974232442,5275.597874287722,474.33839992484144,2034.91490153466,473.1933851455478,842.5646381612239,558.920504067876,711.2182084856818
job_earliness_penalty-machine_current_breakdown_rate*warehouse_utilization_rate<machine_capacity>pair_number_of_alternative_machines+job_earliness_penalty-operation_cooldown>warehouse_utilization_rate-machine_capacity-job_earliness_penalty>{14.0}/{-4.0}+machine_replacement_cooldown/job_time_alive>{-11.0}-operation_cooldown,424.9255272614926,1560.9917833534478,349.46227532201635,777.9693493016131,347.9453159447685,370.849165206832,338.2672934718873,350.72139171819657
job_lateness_penalty>operation_work_required+warehouse_utilization_rate-{5.0}-job_relative_deadline<job_time_alive*machine_replacement_cooldown/job_remaining_number_of_operations/{0.0}-operation_work_required*{14.0}<operation_work_required/job_remaining_work_to_complete+job_relative_deadline>operation_cooldown+machine_capacity,597.3574559283564,1692.9438343428833,390.3012165042284,862.2938399689501,448.3457144970415,493.6796456978249,396.5978549717922,459.7737700956865
job_relative_deadline*operation_windup-machine_capacity*{15.0}*pair_expected_processing_time>operation_windup*{7.0}/job_time_alive+job_earliness_penalty+warehouse_utilization_rate<machine_current_breakdown_rate>warehouse_utilization_rate/machine_current_breakdown_rate/job_delivery_relaxation>operation_windup+pair_expected_work_power,602.9327107228428,1002.4097111534352,411.6783253358247,596.3823914673708,447.1383844742381,496.9470455306296,403.5059925017542,429.092164610372
