Epoch,Criterion_Weight_Raw,Criterion_Weight_Reduced,Train_Autoencoder_TotalDatapoints,Train_Encoder_Loss,Train_Autoencoder_Loss,Train_Autoencoder_Total_Criterion,Train_Autoencoder_Raw_Criterion,Train_Autoencoder_Reduced_Criterion,Train_Autoencoder_Valid,Train_Autoencoder_Accuracy,Train_Autoencoder_Perfects,Train_Encoder_LR,Train_Autoencoder_LR,Val_Autoencoder_TotalDatapoints,Val_Encoder_Loss,Val_Autoencoder_Loss,Val_Autoencoder_Total_Criterion,Val_Autoencoder_Raw_Criterion,Val_Autoencoder_Reduced_Criterion,Val_Autoencoder_Valid,Val_Autoencoder_Accuracy,Val_Autoencoder_Perfects,Example,AutoencodedExample
1,0.30000001287049455,0.6999999871295055,16384,0.0,1.6624634866602719,1.6624634866602719,2.9123198026791215,1.1268107469659299,0.0,0.5216560363769531,0.0,0.001,0.001,16384,0.0,1.2171455989591777,1.217145596565984,2.0075981887057424,0.8783801791723818,0.0,0.6661853790283203,0.0,{5.0}-{0.0}<{7.0}/machine_current_breakdown_rate*{-6.0}<{-8.0}+{-14.0}-{0.0}/{11.0}-{9.0}<{-7.0}*pair_number_of_alternative_operations/{-1.0}-{-14.0}>{-4.0}-{5.0}EOS,{11.0}-pair_number_of_alternative_operations<{7.0}/machine_current_breakdown_rate*{-7.0}<machine_current_breakdown_rate+{0.0}-{10.0}/operation_cooldown-{9.0}<{-2.0}*pair_number_of_alternative_operations/{-1.0}-{-14.0}>{-8.0}-{-5.0}pair_number_of_alternative_machines
2,0.3069306683908387,0.6930693316091613,32768,0.0,1.016053437255323,1.016053437255323,1.661388520617038,0.7302622192073613,0.0,0.7285194396972656,0.0,0.001,0.001,16384,0.0,0.7244910984300077,0.7244910999611337,1.1569465482607484,0.5329751379322261,0.0,0.8089027404785156,0.000244140625,{9.0}<{4.0}<{-13.0}>{-9.0}*{-12.0}-{-7.0}*{-5.0}+{-6.0}+{-8.0}/operation_work_required-job_remaining_work_to_complete/{2.0}-{-11.0}+{11.0}-{2.0}<{-13.0}EOS,{9.0}<pair_number_of_alternative_machines<{-3.0}>{-9.0}*{-12.0}-{-7.0}*{4.0}+{-6.0}+{3.0}/operation_work_required-job_remaining_work_to_complete/{2.0}-{-11.0}+pair_expected_work_power-{2.0}<{-13.0}EOS
3,0.3137255221704285,0.6862744778295715,49152,0.0,0.6054631486767903,0.6054631486767903,0.99118686420843,0.42913228110410273,0.0,0.8402900695800781,0.00250244140625,0.001,0.001,16384,0.0,0.40535461134277284,0.4053546102176222,0.6505699746776372,0.29325614124536514,0.0,0.8982639312744141,0.021484375,{-9.0}+job_relative_deadline/{-6.0}<job_time_alive+{-14.0}<{12.0}*{-14.0}+job_remaining_number_of_operations*{-14.0}-machine_capacity+{-9.0}-{11.0}<job_earliness_penalty>{-5.0}+{13.0}+{0.0}EOS,{-9.0}+job_relative_deadline/{-6.0}<job_time_alive+{-14.0}<{12.0}*{-7.0}+job_remaining_number_of_operations*{-14.0}-machine_capacity+job_remaining_work_to_complete-{11.0}<{2.0}>warehouse_utilization_rate+{10.0}+{0.0}EOS
4,0.3203883269971141,0.6796116730028858,65536,0.0,0.35191470419522375,0.35191470419522375,0.6030856267316267,0.23350556724471971,0.0,0.8992462158203125,0.02508544921875,0.001,0.001,16384,0.0,0.2271753260283731,0.22717532653680417,0.3913134216563776,0.1497959468397312,0.0,0.9339199066162109,0.09423828125,machine_cooldown-{15.0}>operation_work_required-operation_cooldown<machine_replacement_cooldown>job_earliness_penalty<{-10.0}-machine_cooldown>{0.0}>pair_expected_work_power/{-5.0}*{15.0}/{-5.0}*operation_work_required-{-3.0}+{1.0}EOS,machine_cooldown-{15.0}>operation_work_required-operation_cooldown<machine_replacement_cooldown>job_earliness_penalty<{-10.0}-machine_cooldown>{0.0}>pair_expected_work_power/{8.0}*{15.0}/{-5.0}*operation_work_required-{-3.0}+{1.0}EOS
5,0.3269230719452633,0.6730769280547366,81920,0.0,0.21013873431365937,0.21013873431365937,0.4012271078536287,0.11732438355102204,0.0,0.9231681823730469,0.06854248046875,0.001,0.001,16384,0.0,0.13515073503367603,0.13515073519991821,0.26804032822838053,0.07060436290339567,0.0,0.9460868835449219,0.15057373046875,pair_expected_processing_time/pair_number_of_alternative_machines+job_relative_deadline+operation_work_required*{6.0}*{-1.0}*{-2.0}/warehouse_utilization_rate-{-6.0}-operation_work_required<{6.0}<{12.0}-job_lateness_penalty>{15.0}+machine_replacement_cooldown/{-1.0}EOS,pair_expected_processing_time/pair_number_of_alternative_machines+job_relative_deadline+operation_work_required*{6.0}*job_remaining_work_to_complete*{-2.0}/warehouse_utilization_rate-{-6.0}-operation_work_required<{6.0}<{12.0}-job_lateness_penalty>{15.0}+machine_replacement_cooldown/{-1.0}EOS
6,0.33333334421435695,0.6666666557856431,98304,0.0,0.14857498439960182,0.14857498439960182,0.33521189051680267,0.05525652677170001,0.0,0.9201774597167969,0.0560302734375,0.001,0.001,16384,0.0,0.10634271748131141,0.10634271660416539,0.2576639228500426,0.03068210977653507,0.0,0.9311809539794922,0.08843994140625,pair_expected_processing_time-{10.0}*{0.0}*{10.0}<{1.0}*{14.0}<{0.0}<{-3.0}*{4.0}+{-12.0}+{5.0}<{0.0}>job_time_alive>{11.0}-operation_work_required+{-3.0}EOS,pair_expected_processing_time-{10.0}*{0.0}*{10.0}<{1.0}*pair_expected_processing_time<{0.0}<{-3.0}*{4.0}+{-12.0}+{5.0}<{0.0}>job_time_alive>{11.0}-operation_work_required+{-3.0}EOS
7,0.3396226473820901,0.66037735261791,114688,0.0,0.1490592852642294,0.1490592852642294,0.39063017757143825,0.024822823110298486,0.0,0.8805866241455078,0.0142822265625,0.001,0.001,16384,0.0,0.11770057494868524,0.11770057458866058,0.32214448344893754,0.01255799013597425,0.0,0.8917274475097656,0.0164794921875,{0.0}/{-3.0}>pair_number_of_alternative_machines*warehouse_utilization_rate-{-11.0}/{-14.0}/{-9.0}*{-1.0}-{9.0}>{-5.0}<{-11.0}-{12.0}+job_earliness_penalty-warehouse_utilization_rate<machine_cooldown/{-11.0}EOS,{0.0}/{-3.0}>pair_number_of_alternative_machines*warehouse_utilization_rate-{-11.0}/{-14.0}/pair_expected_processing_time*{9.0}-{9.0}<{-14.0}<{-14.0}-{12.0}+job_earliness_penalty-warehouse_utilization_rate<machine_cooldown/{-11.0}EOS
8,0.34579438043684313,0.6542056195631569,131072,0.0,0.1754213445528876,0.1754213445528876,0.48882126389071345,0.009767110324901296,0.0,0.8290119171142578,0.00347900390625,0.001,0.001,16384,0.0,0.15369526227004826,0.1536952630095083,0.4361340149771422,0.0044062163742637495,0.0,0.83734130859375,0.00115966796875,{-4.0}*{-4.0}*job_relative_deadline/{12.0}/{-6.0}-warehouse_utilization_rate*pair_number_of_alternative_operations/operation_windup+{-14.0}-machine_cooldown>job_earliness_penalty+{-2.0}/machine_replacement_cooldown<{7.0}+{3.0}>operation_windupEOS,{0.0}*{6.0}*job_relative_deadline/{12.0}/{-6.0}>warehouse_utilization_rate*machine_replacement_cooldown/{9.0}+{-13.0}-machine_cooldown>{-3.0}+{-2.0}/machine_cooldown<{-11.0}+{-9.0}>operation_windupEOS
9,0.3518518516586773,0.6481481483413227,147456,0.0,0.19335071972454898,0.19335071972454898,0.5432084493804723,0.0034279523579243687,0.0,0.8014354705810547,0.00091552734375,0.001,0.001,16384,0.0,0.19369636167539284,0.19369636247316319,0.5477065852610394,0.001519384551102121,0.0,0.7911872863769531,6.103515625e-05,{13.0}<machine_replacement_cooldown-machine_cooldown*{5.0}/pair_expected_work_power*{14.0}>{-3.0}<{-13.0}>{11.0}-{-3.0}/{0.0}/{-15.0}+{-15.0}/{1.0}<{6.0}>{0.0}EOS,{13.0}<machine_current_breakdown_rate-machine_cooldown*{5.0}/pair_expected_work_power*machine_replacement_cooldown>{-13.0}>{-13.0}>machine_current_breakdown_rate+{-3.0}/machine_capacity/{-12.0}+{-15.0}/{10.0}<job_lateness_penalty>{2.0}EOS
10,0.35779815741548615,0.6422018425845138,163840,0.0,0.18491071788594127,0.18491071788594127,0.514494045288302,0.0012857273613917641,0.0,0.8067436218261719,0.00048828125,0.001,0.001,16384,0.0,0.18962122418452054,0.1896212235022489,0.528507946874015,0.0008129125403684156,0.0,0.8008213043212891,0.000244140625,{14.0}>pair_number_of_alternative_operations*{-13.0}+operation_cooldown>{1.0}/{5.0}>{0.0}+job_remaining_number_of_operations<{-10.0}+{2.0}/{2.0}*job_lateness_penalty<{-8.0}/{14.0}-pair_expected_processing_time-{-4.0}EOS,{14.0}>pair_number_of_alternative_operations*{-13.0}+operation_cooldown>{12.0}/{-5.0}>{12.0}+pair_expected_processing_time<job_remaining_number_of_operations+{2.0}/{2.0}*job_lateness_penalty<{-8.0}/{4.0}-pair_expected_processing_time-{0.0}EOS
