Epoch,Loss_Weight_PerReward,Loss_Weight_MeanReward,Train_Loss,Train_PerReward_Loss,Train_MeanReward_Loss,Train_LR,Val_Loss,Val_PerReward_Loss,Val_MeanReward_Loss
1,0.3,0.7,122197.47144615263,209175.37326628904,84921.22541919404,0.001,96899.96728573195,177213.7899287203,62479.75517160256
2,0.46153846153846156,0.5384615384615385,110113.6682621808,168846.98249792188,59770.82341377805,0.001,114439.23341181123,175643.48607964366,61978.44156716654
3,0.5625,0.4375,112453.90875224592,157444.29018181452,54609.13204134218,0.001,122422.21250729568,170712.85827106863,60334.23953200105
4,0.631578947368421,0.3684210526315789,102880.65097376329,137181.17421447256,44079.76414781113,0.001,128896.9343027844,170017.61405928267,58404.35422420762
5,0.6818181818181818,0.3181818181818181,87872.71735952486,113204.7830342117,33589.71857942169,0.001,138160.72720653936,174566.18055171936,60149.03953547672
6,0.72,0.27999999999999997,72585.5109260654,90749.02577458505,25879.320503623047,0.001,151544.7815963019,185897.22997370802,63209.89499313919
7,0.7499999999999999,0.25,58376.898421243044,71213.77670141624,19866.263267420767,0.001,161986.87395530663,194173.96085561966,65425.61391584603
8,0.7741935483870969,0.22580645161290325,44485.27556480839,53263.27297538545,14389.290071808295,0.001,171713.17680703546,202145.16331806086,67374.9585183729
9,0.7941176470588236,0.2058823529411765,32767.881592872734,38607.83186593409,10242.36225183547,0.001,182610.34096349485,211768.9336905083,70141.50004343371
10,0.8108108108108109,0.1891891891891892,23452.69190607866,27260.560146048098,7133.257396908553,0.001,193210.5348676882,221370.04647694685,72526.91980347669
11,0.825,0.175,14617.43482927412,16819.617616078103,4235.717136523032,0.0005623413251903491,190962.01946882397,216474.89436034136,70687.05551193652
12,0.8372093023255813,0.1627906976744186,10587.246341105625,12086.917420222579,2874.6534885540586,0.0005623413251903491,194143.23078924062,218051.55395589073,71186.16124950322
13,0.8478260869565217,0.15217391304347827,8548.104703852732,9665.8989556216,2320.395387456714,0.0005623413251903491,198133.71329836838,220759.20731869095,72077.42995320277
14,0.8571428571428571,0.14285714285714285,7279.464299252988,8169.84804855823,1937.1610906820067,0.0005623413251903491,199299.56087508416,220484.7840800596,72188.20368943269
15,0.8653846153846153,0.1346153846153846,7044.278824299726,7837.9254299581235,1942.2635043923672,0.0005623413251903491,202939.38915895388,223213.96555421094,72602.78493433632
16,0.8727272727272727,0.12727272727272726,6716.976873637897,7429.065211490701,1834.0853323042925,0.0005623413251903491,202789.55390889163,221835.25217335086,72190.4785474941
17,0.8793103448275862,0.12068965517241378,6645.816334927005,7310.831609974937,1800.703628505316,0.0005623413251903491,203119.03080605075,221097.24813847357,72134.8278460339
18,0.8852459016393442,0.11475409836065574,6503.806963420632,7120.241906365312,1748.4506065752837,0.0005623413251903491,201982.74071445625,218913.76140599579,71371.9772055941
19,0.890625,0.109375,6477.1842161989225,7058.354379117912,1744.7986511032216,0.0005623413251903491,202072.8054680724,218129.18230190373,71328.02443633584
20,0.8955223880597015,0.1044776119402985,6158.713611917358,6686.053366314419,1638.6567699116533,0.0005623413251903491,203041.25348872851,218366.3195466247,71683.4792604156
21,0.9,0.09999999999999999,5972.5671849130995,6462.456063061303,1563.5688275501743,0.0005623413251903491,203908.99326224573,218570.07836215477,71959.27286099351
22,0.9041095890410958,0.0958904109589041,5753.800218396409,6210.005568611195,1452.4349398685758,0.0005623413251903491,203273.3443285845,217253.57459243623,71459.72333298875
23,0.9078947368421052,0.09210526315789473,5648.108772909847,6075.167096777418,1438.5343009797782,0.0005623413251903491,203385.7305764964,216822.84471501014,70934.20085596447
24,0.9113924050632911,0.08860759493670886,5629.321945363,6042.56299194455,1378.843606041753,0.0005623413251903491,203289.86482765566,216176.05711892818,70746.20820524494
25,0.9146341463414633,0.08536585365853659,4920.916212918573,5273.4697553833485,1143.5554126652303,0.00031622776601683794,203689.5223339584,216058.95623527616,71159.81730864554
26,0.9176470588235294,0.08235294117647059,3846.288304802134,4122.0521000111585,773.491484143611,0.00031622776601683794,203051.5834429593,214941.87577870963,70559.74023656946
27,0.9204545454545455,0.07954545454545454,3562.1502873802233,3812.132943037724,669.493098906399,0.00031622776601683794,204274.70789269143,215801.8329188275,70889.36639198504
28,0.9230769230769231,0.07692307692307693,3430.731719196445,3665.998156494056,607.5341478366847,0.00031622776601683794,203837.41000586306,214927.0645515926,70761.53977622598
29,0.9255319148936171,0.07446808510638298,3278.2342674842653,3496.545087798252,564.9422169915962,0.00031622776601683794,204593.3659601737,215341.67651900608,71007.19419726048
30,0.9278350515463918,0.07216494845360825,3114.2120495534245,3317.79362020444,496.7349433888265,0.00031622776601683794,204184.03055922393,214557.88537941553,70805.913001859
31,0.93,0.06999999999999999,2972.2747058110626,3162.5055997768277,444.92108271402975,0.00031622776601683794,205367.4263604191,215498.8320718985,70764.43957831136
32,0.9320388349514563,0.06796116504854369,2872.106017433834,3049.4901292024974,439.4091789071012,0.00031622776601683794,205145.6851510992,214951.41649243794,70667.05345637222
33,0.9339622641509434,0.0660377358490566,2744.8295847065174,2909.391370021663,417.4547887481903,0.00031622776601683794,205514.91073190884,215048.46130227167,70683.1872182622
34,0.9357798165137615,0.06422018348623852,2599.9781151936236,2751.4043306806493,393.48209329124523,0.00031622776601683794,205767.5654840256,215040.81432586315,70643.10508345801
35,0.9375000000000001,0.0625,2431.4388743741974,2569.37220109714,362.43903122745496,0.00031622776601683794,205661.16155346853,214679.22832206765,70390.16386840385
36,0.9391304347826087,0.0608695652173913,2328.0397799685866,2455.6438946698067,359.29089694663617,0.00031622776601683794,206868.29457906046,215691.24198208586,70742.86195528842
37,0.940677966101695,0.059322033898305086,2207.175881608919,2324.0634173025583,353.6745536245327,0.00031622776601683794,205110.81634594593,213630.64869331272,70010.7118956774
38,0.9421487603305786,0.05785123966942148,2139.6208772438813,2249.395924712648,351.8564076352484,0.00031622776601683794,206597.32648073556,214952.94460447563,70520.16763760905
39,0.9435483870967742,0.0564516129032258,1820.4192739814164,1912.0512056672287,288.85721329220826,0.00017782794100389227,206208.2620376931,214347.0064557886,70174.97872876856
40,0.9448818897637796,0.05511811023622047,1424.3950569002232,1497.2567508375294,175.33673499137504,0.00017782794100389227,206986.23761986173,214948.70326603044,70486.71429377398
41,0.9461538461538462,0.05384615384615384,1310.3345741966552,1375.869067476365,158.80057469038812,0.00017782794100389227,207051.25714642456,214826.42599729306,70430.53570314503
