Step,Individual,Fitness
1,((job_relative_deadline+job_remaining_work_to_complete)*((machine_current_breakdown_rate+machine_cooldown)>machine_cooldown)),467.7529875307857
1,((job_relative_deadline<job_relative_deadline)+(machine_current_breakdown_rate+(-3.25-((job_remaining_number_of_operations/machine_replacement_cooldown)-1.25)))),446.8655397932921
1,((-5.25*pair_expected_processing_time)<machine_replacement_cooldown),489.01801361601036
1,(job_starting_number_of_operations/-3.75),484.741417936905
1,((machine_processing_energy_per_second<warehouse_utilization_rate)+machine_processing_cost_fixed),457.209536994142
1,(-2.75*(machine_cooldown-job_remaining_work_to_complete)),448.3968120671633
1,(((((-1.5-pair_number_of_alternative_operations)/machine_replacement_cooldown)<job_remaining_number_of_operations)+machine_cooldown)+warehouse_utilization_rate),451.0689850118591
1,(job_remaining_work_to_complete/pair_number_of_alternative_operations),421.18445799373234
1,(job_remaining_number_of_operations/machine_replacement_cooldown),469.0297013432099
1,(job_remaining_number_of_operations*-4.0),504.940547709724
1,(((((-9.5/pair_expected_processing_time)<0.25)+-0.25)*operation_work_required)>(2.5+((operation_windup-machine_capacity)<machine_processing_cost_fixed))),460.79149869749943
1,((machine_processing_cost_per_second/((machine_processing_energy_per_second-pair_expected_processing_time)<machine_processing_cost_per_second))+pair_expected_work_power),416.53074871138034
1,(machine_processing_cost_per_second<machine_current_breakdown_rate),428.865627906664
1,(machine_processing_energy_per_second/(machine_processing_energy_fixed/machine_replacement_cooldown)),441.28044242802554
1,(machine_processing_cost_per_second+-5.5),415.58683179488173
1,(operation_cooldown+(((machine_processing_energy_fixed*machine_processing_energy_per_second)-7.75)>job_remaining_number_of_operations)),504.69631257250836
1,(operation_cooldown-((((job_remaining_work_to_complete+machine_processing_cost_per_second)/machine_processing_energy_fixed)*machine_replacement_cooldown)/job_remaining_number_of_operations)),449.934024177139
1,(-9.75-((job_remaining_work_to_complete--5.75)/((machine_processing_energy_fixed*job_remaining_work_to_complete)/machine_capacity))),461.3888411368399
1,(-4.0*((((job_remaining_work_to_complete+machine_processing_energy_per_second)/(job_remaining_work_to_complete/job_relative_deadline))/pair_number_of_alternative_operations)*7.25)),402.95581122691306
1,(operation_cooldown>pair_expected_work_power),433.91871990686724
1,((machine_processing_energy_per_second+(((machine_processing_cost_fixed>pair_expected_work_power)*job_remaining_number_of_operations)<((machine_processing_cost_per_second/1.75)/(machine_processing_cost_per_second+pair_number_of_alternative_operations))))/(machine_capacity*job_relative_deadline)),450.72028428577556
1,(7.5>job_starting_number_of_operations),453.45261941159833
1,(machine_capacity+job_remaining_number_of_operations),435.43667709333187
1,(9.25>(machine_capacity--1.75)),450.77616633291717
1,(3.25/machine_processing_cost_per_second),449.8014339636726
1,(warehouse_utilization_rate-3.0),450.77616633291717
1,((1.75-pair_expected_processing_time)/(6.25>(-4.5/((pair_expected_work_power>machine_cooldown)-operation_windup)))),490.1096069073787
1,(5.0-machine_replacement_cooldown),453.11360487028725
1,(((pair_number_of_alternative_operations/(machine_processing_energy_per_second<operation_cooldown))>(-6.5+operation_windup))/(machine_processing_cost_per_second<(5.75*pair_number_of_alternative_operations))),435.162476660856
1,((2.0>((machine_replacement_cooldown*(machine_processing_energy_fixed*operation_cooldown))+-6.25))+1.5),463.82004770416063
1,(-0.75*((pair_expected_work_power+((machine_processing_cost_fixed*machine_processing_cost_fixed)>machine_cooldown))*(((job_relative_deadline>job_relative_deadline)>pair_expected_work_power)--1.25))),385.54165616998097
1,((9.5/9.5)-(pair_expected_work_power/((machine_replacement_cooldown*4.25)*((machine_replacement_cooldown--3.75)/-6.25)))),422.13272858140743
1,(machine_processing_cost_fixed<job_remaining_work_to_complete),457.209536994142
1,(machine_processing_energy_fixed+((machine_capacity-7.5)+(((5.0*4.25)<0.5)<pair_expected_work_power))),423.073381787277
1,(machine_processing_cost_fixed>pair_number_of_alternative_machines),426.20979661546926
1,((job_remaining_work_to_complete>job_remaining_work_to_complete)+((2.0+job_remaining_number_of_operations)>machine_processing_cost_per_second)),492.46872419820943
1,(machine_processing_cost_fixed>machine_capacity),426.21506890006805
1,(((job_remaining_work_to_complete*-6.0)<(pair_number_of_alternative_machines/pair_expected_work_power))*pair_expected_work_power),433.88965959619696
1,(machine_replacement_cooldown/(machine_processing_cost_per_second-machine_processing_cost_fixed)),405.5528714408811
1,(operation_work_required<job_remaining_number_of_operations),398.83227945361693
1,(job_starting_number_of_operations>job_relative_deadline),483.1459543107198
1,((((pair_expected_processing_time>(operation_work_required<-5.0))-((job_starting_number_of_operations/pair_expected_processing_time)>(machine_processing_cost_per_second+machine_replacement_cooldown)))*4.5)/operation_windup),415.59494567531453
1,(pair_expected_processing_time*machine_processing_energy_per_second),463.6509109538345
1,((machine_processing_energy_per_second+job_starting_number_of_operations)-((machine_processing_energy_fixed/operation_windup)+((2.75*machine_capacity)+((operation_work_required-pair_number_of_alternative_operations)-job_remaining_number_of_operations)))),457.4379771198517
1,(-5.25/((warehouse_utilization_rate-((machine_replacement_cooldown+job_remaining_number_of_operations)*-1.25))<(machine_capacity<machine_processing_energy_fixed))),455.2055261768812
1,(job_remaining_number_of_operations/pair_expected_processing_time),507.16989085507447
1,(((((8.25--5.5)/-9.75)-((-2.75-job_relative_deadline)<(operation_work_required+operation_cooldown)))>machine_replacement_cooldown)>(((operation_cooldown-machine_capacity)<3.25)--4.0)),411.6621472464227
1,(((machine_current_breakdown_rate-pair_number_of_alternative_operations)/0.0)-(7.75>machine_processing_energy_fixed)),454.9282072722503
1,(((machine_processing_cost_per_second<((job_remaining_number_of_operations<machine_processing_cost_per_second)>(operation_work_required>-3.75)))>warehouse_utilization_rate)/(machine_processing_energy_fixed<((pair_number_of_alternative_operations>(warehouse_utilization_rate/-7.75))<((-5.75<pair_expected_processing_time)*(8.5<machine_processing_energy_per_second))))),432.11540815676665
1,(machine_cooldown*((((machine_replacement_cooldown>machine_processing_cost_fixed)-machine_replacement_cooldown)/machine_processing_cost_per_second)/(operation_cooldown<machine_processing_energy_fixed))),450.77616633291717
1,((((machine_capacity>pair_expected_processing_time)+machine_cooldown)-machine_cooldown)<((((job_remaining_number_of_operations<-0.5)/job_remaining_number_of_operations)*(machine_processing_cost_fixed>machine_capacity))>(((5.75+pair_expected_processing_time)/job_remaining_work_to_complete)*job_relative_deadline))),524.6073645170771
1,(machine_current_breakdown_rate*(((8.5-machine_processing_cost_per_second)-(machine_capacity+(machine_replacement_cooldown--4.75)))*(8.25<machine_current_breakdown_rate))),455.9446160222352
1,(pair_number_of_alternative_machines<((machine_processing_energy_fixed-operation_windup)+job_remaining_work_to_complete)),427.88373881519675
1,(((operation_cooldown>(machine_replacement_cooldown>machine_processing_cost_fixed))<(((machine_cooldown+-4.0)*machine_processing_cost_fixed)-((warehouse_utilization_rate>machine_processing_cost_fixed)>machine_processing_cost_fixed)))*((machine_processing_cost_per_second-(machine_current_breakdown_rate-(operation_windup-warehouse_utilization_rate)))*((pair_expected_processing_time-(operation_cooldown>job_starting_number_of_operations))<machine_capacity))),459.581845000012
1,((job_starting_number_of_operations-(-6.75<(9.0*(pair_expected_work_power/machine_processing_cost_fixed))))-(((job_starting_number_of_operations*-8.25)>(machine_processing_cost_fixed+job_starting_number_of_operations))<(((machine_cooldown*job_relative_deadline)/job_remaining_number_of_operations)+job_remaining_work_to_complete))),449.2926252271824
1,((((1.0-(machine_capacity>machine_processing_energy_fixed))/machine_cooldown)-(machine_capacity>(machine_cooldown>(machine_processing_cost_per_second/machine_capacity))))<(operation_cooldown+warehouse_utilization_rate)),481.64782393196873
1,(machine_processing_cost_per_second/5.0),415.58683179488173
1,(pair_number_of_alternative_machines/machine_processing_cost_fixed),396.3077685568056
1,(machine_replacement_cooldown>((machine_processing_energy_per_second<machine_cooldown)*machine_capacity)),455.3226573586888
1,(machine_processing_energy_fixed*-0.0),450.77616633291717
1,(((((machine_processing_energy_fixed+pair_number_of_alternative_operations)>machine_processing_cost_per_second)*job_starting_number_of_operations)-(operation_cooldown*machine_processing_cost_fixed))<-8.5),450.77616633291717
1,(machine_processing_cost_fixed-operation_cooldown),429.58995039466345
1,(job_remaining_number_of_operations*0.75),398.83227945361693
1,((operation_cooldown-job_remaining_number_of_operations)-((((operation_work_required<operation_work_required)<(machine_capacity/job_relative_deadline))*machine_processing_cost_per_second)>(machine_current_breakdown_rate/pair_expected_work_power))),422.7803989647489
1,(-9.5+job_relative_deadline),478.6113570592531
1,(((-8.0/(pair_expected_processing_time-(machine_processing_cost_per_second/-4.0)))*pair_expected_work_power)-job_remaining_number_of_operations),449.36212297904956
1,(((machine_replacement_cooldown<8.0)-(machine_replacement_cooldown/((operation_cooldown/8.75)*(job_remaining_work_to_complete-job_remaining_work_to_complete))))--2.25),453.11360487028725
1,(pair_number_of_alternative_machines-machine_replacement_cooldown),454.0127151831164
1,(5.5/machine_cooldown),426.4867324287356
1,(operation_cooldown/((7.5>operation_windup)*(((pair_number_of_alternative_machines-pair_number_of_alternative_operations)*(job_remaining_work_to_complete>pair_number_of_alternative_operations))+(pair_number_of_alternative_operations<job_remaining_work_to_complete)))),469.7739366856093
1,((pair_number_of_alternative_machines/job_remaining_number_of_operations)+((((job_remaining_work_to_complete<6.25)+(operation_work_required/machine_processing_cost_fixed))-machine_current_breakdown_rate)/job_relative_deadline)),432.5265961397035
1,(2.25+(((-4.75+-5.0)>warehouse_utilization_rate)/((machine_processing_energy_per_second>pair_number_of_alternative_operations)>machine_processing_cost_per_second))),441.8840567961082
1,(job_starting_number_of_operations/job_remaining_number_of_operations),424.2583766774131
1,((-5.0>(machine_processing_energy_fixed<((machine_processing_energy_per_second+operation_windup)>pair_number_of_alternative_machines)))*((job_remaining_work_to_complete*9.5)>(machine_processing_energy_per_second/((pair_expected_work_power/operation_cooldown)+(machine_processing_cost_per_second<machine_processing_cost_per_second))))),445.0541946223598
1,((job_relative_deadline*(machine_processing_energy_fixed>-4.75))*(pair_number_of_alternative_machines-(machine_processing_cost_fixed/((operation_windup*machine_current_breakdown_rate)+(operation_work_required--8.25))))),431.5407369790177
1,(warehouse_utilization_rate*(machine_processing_cost_per_second>(((-1.75>4.5)>(pair_number_of_alternative_operations/operation_windup))>pair_expected_work_power))),389.5480439576373
1,((machine_processing_energy_fixed+-9.25)--9.0),448.2205686949556
1,(operation_work_required>-9.75),435.10068967405306
1,(-0.25<(machine_processing_cost_per_second*warehouse_utilization_rate)),450.77616633291717
