Epoch,Loss_Weight_L1,Loss_Weight_SmoothL1,Loss_Weight_L2,Train_Loss,Train_L1_Loss,Train_SmoothL1_Loss,Train_L2_Loss,Train_LR,Val_Loss,Val_L1_Loss,Val_SmoothL1_Loss,Val_L2_Loss
27,tensor(0.),tensor(1.),tensor(0.),14.347596675561274,33.15229213942448,14.347596675561274,7302.790051258256,0.001,46.584459065216514,69.73003002223123,46.584459065216514,38654.33741587371
28,tensor(0.),tensor(1.),tensor(0.),14.022546392356233,32.68370143885683,14.022546392356233,7192.387253418345,0.001,48.37290851001082,73.32222394050636,48.37290851001082,40728.67870853217
29,tensor(0.),tensor(1.),tensor(0.),13.572106934973759,32.067550396684354,13.572106934973759,6992.803296685806,0.001,45.43619617452762,67.91147320141346,45.43619617452762,38496.20126748672
30,tensor(0.),tensor(1.),tensor(0.),13.063543276613569,31.447613363195522,13.063543276613569,6642.833476588056,0.001,46.07371378825803,69.39576233549072,46.07371378825803,39586.0379721355
31,tensor(0.),tensor(1.),tensor(0.),12.567356761673402,30.73274409947137,12.567356761673402,6184.514825586028,0.001,45.51473939594964,68.41610703209938,45.51473939594964,38482.70066134448
32,tensor(0.),tensor(1.),tensor(0.),12.187397799174773,30.15245567254832,12.187397799174773,5964.564943773993,0.001,44.226578045948386,66.34975780994434,44.226578045948386,37122.348025918596
33,tensor(0.),tensor(1.),tensor(0.),11.892375336565408,29.717692016967998,11.892375336565408,5943.331806727818,0.001,44.615522957787725,67.6534615690485,44.615522957787725,37460.277460708996
34,tensor(0.),tensor(1.),tensor(0.),11.601367187727554,29.326587499068875,11.601367187727554,5764.003029452168,0.001,44.052756506821204,66.42112428214162,44.052756506821204,37786.46635008563
35,tensor(0.),tensor(1.),tensor(0.),11.157239490395108,28.70729572960896,11.157239490395108,5374.563872999745,0.001,43.96468587285779,67.31713083342379,43.96468587285779,37214.72185835815
36,tensor(0.),tensor(1.),tensor(0.),10.69920047937796,28.130399165775977,10.69920047937796,5078.583412724763,0.001,42.99170535890927,65.28226988421285,42.99170535890927,35295.98173545499
37,tensor(0.),tensor(1.),tensor(0.),10.644654215997075,27.998724033973488,10.644654215997075,5122.4854700999895,0.001,43.983333626991424,66.36984189977787,43.983333626991424,36607.86061321691
38,tensor(0.),tensor(1.),tensor(0.),10.239322573093357,27.422185019906518,10.239322573093357,4831.036598919648,0.001,43.573953015463694,67.08523342057401,43.573953015463694,37336.27089792637
39,tensor(0.),tensor(1.),tensor(0.),10.058228468806872,27.137385747996458,10.058228468806872,4836.392282777232,0.001,42.787340531208244,64.58750106078651,42.787340531208244,36264.042272558356
40,tensor(0.),tensor(1.),tensor(0.),9.958909856972143,26.973518291717678,9.958909856972143,4607.472320659995,0.001,42.51780117145313,64.30413325549347,42.51780117145313,35398.082576657755
41,tensor(0.),tensor(1.),tensor(0.),9.704989035324804,26.582852762614564,9.704989035324804,4465.188477445706,0.001,43.19305300242795,65.48837324433725,43.19305300242795,35765.330403144726
42,tensor(0.),tensor(1.),tensor(0.),9.470431000434706,26.217873318735602,9.470431000434706,4411.427482464043,0.001,41.82098237898549,62.066207869299525,41.82098237898549,36119.48565598662
43,tensor(0.),tensor(1.),tensor(0.),9.197957501035606,25.859678022086328,9.197957501035606,4007.7071536773533,0.001,42.35721624660962,63.92594993760433,42.35721624660962,35766.16208231508
44,tensor(0.),tensor(1.),tensor(0.),8.955408563754828,25.47974949429188,8.955408563754828,3939.546024200364,0.001,42.19529134710434,64.3200826809324,42.19529134710434,35555.28600848719
45,tensor(0.),tensor(1.),tensor(0.),8.815001441413546,25.32353128441449,8.815001441413546,3818.21435179499,0.001,41.6840455579053,63.269419702990305,41.6840455579053,34267.9788698093
46,tensor(0.),tensor(1.),tensor(0.),8.689544991539616,25.070977014273847,8.689544991539616,3905.2115331847094,0.001,42.023174851985985,62.65432781773835,42.023174851985985,36824.14189110366
47,tensor(0.),tensor(1.),tensor(0.),8.423042869883512,24.747429411693158,8.423042869883512,3598.996240456116,0.001,41.71412424794559,63.4362433226825,41.71412424794559,34572.36633105348
48,tensor(0.),tensor(1.),tensor(0.),8.36341927079438,24.619160700020533,8.36341927079438,3731.488839539401,0.001,42.639959468630146,64.26859543711093,42.639959468630146,36677.91095692301
49,tensor(0.),tensor(1.),tensor(0.),8.066967397341,24.202023078948994,8.066967397341,3262.7443599419053,0.001,40.14708010081587,60.596906448232716,40.14708010081587,33811.97387236797
50,tensor(0.),tensor(1.),tensor(0.),7.933443098049152,23.935812433952183,7.933443098049152,3163.418926267201,0.001,41.563376455471435,62.89718172702883,41.563376455471435,35339.23274028007
