Epoch,Criterion_Weight_Raw,Criterion_Weight_Reduced,Train_Autoencoder_TotalDatapoints,Train_Encoder_Loss,Train_Encoder_LR,Train_Decoder_LR,Val_Autoencoder_TotalDatapoints,Val_Encoder_Loss,Train_Autoencoder_Loss,Train_Autoencoder_Total_Criterion,Train_Autoencoder_Raw_Criterion,Train_Autoencoder_Reduced_Criterion,Train_Autoencoder_Valid,Train_Autoencoder_Accuracy,Train_Autoencoder_Perfects,Val_Autoencoder_Loss,Val_Autoencoder_Total_Criterion,Val_Autoencoder_Raw_Criterion,Val_Autoencoder_Reduced_Criterion,Val_Autoencoder_Valid,Val_Autoencoder_Accuracy,Val_Autoencoder_Perfects,Example,AutoencodedExample
1,1.0,0.0,256,0.12158550694584846,0.0001,1e-05,256,0.06769988313317299,,,,,,,,,,,,,,,,
2,1.0,0.0,512,0.13611780852079391,0.0001,1e-05,256,0.08213239815086126,,,,,,,,,,,,,,,,
3,1.0,0.0,768,0.10407228395342827,0.0001,1e-05,256,0.10730128269642591,,,,,,,,,,,,,,,,
4,0.3913043238870508,0.6086956761129492,1024,0.2147342823445797,0.0001,1e-05,256,0.13426413014531136,2.654668629169464,2.654668629169464,4.499700427055359,1.4685768783092499,0.0,0.0103759765625,0.0,2.654096484184265,2.6540964116130445,4.499358177185059,1.4678568243980408,0.0,0.017578125,0.0,{-8.0}/{7.0}/{-6.0}>{-6.0}+job_relative_deadline+{-9.0}*{-12.0}+{11.0}-{-11.0}<{12.0}/{-2.0}<{1.0}-{6.0}*{4.0}*{-2.0}/{1.0}EOS,pair_number_of_alternative_machines{12.0}{8.0}{-5.0}{12.0}NULL{-4.5}job_remaining_work_to_complete{-3.0}{12.5}{-10.0}{-6.0}pair_number_of_alternative_operations>{-10.5}{-6.0}{5.0}job_delivery_relaxation{-12.5}EOS{-12.0}{1.0}{6.5}operation_work_requiredpair_expected_processing_time{6.5}{3.0}{3.5}job_relative_deadline{10.5}{10.0}{10.0}
5,0.41666665027923205,0.583333349720768,1280,0.17330265045166016,0.0001,1e-05,256,0.06068902462720871,2.7305723428726196,2.7305723428726196,4.498663663864136,1.467650055885315,0.0,0.0234375,0.0,2.7304436564445496,2.7304437110765782,4.498733043670654,1.4673799872398376,0.0,0.0245361328125,0.0,{0.0}/{-14.0}+{0.0}/{6.0}+pair_number_of_alternative_machines+job_delivery_relaxation*pair_number_of_alternative_machines-{-12.0}+{3.0}<warehouse_utilization_rate-{-8.0}*{12.0}>operation_windup-{-11.0}-{-3.0}+{14.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}machine_current_breakdown_rate{13.0}{10.5}{7.0}>{-3.0}{12.5}job_earliness_penalty{-6.0}machine_capacity{5.5}{-10.5}{-6.0}machine_cooldownjob_delivery_relaxation{-12.5}EOS{-12.0}{1.0}{-9.5}pair_number_of_alternative_operations{4.5}{6.5}{4.0}{-9.5}machine_cooldown{-4.0}{10.0}EOS
