Epoch,Criterion_Weight_Raw,Criterion_Weight_Reduced,Train_Autoencoder_TotalDatapoints,Train_Encoder_Loss,Train_Autoencoder_Loss,Train_Autoencoder_Total_Criterion,Train_Autoencoder_Raw_Criterion,Train_Autoencoder_Reduced_Criterion,Train_Autoencoder_Valid,Train_Autoencoder_Accuracy,Train_Autoencoder_Perfects,Train_Encoder_LR,Train_Autoencoder_LR,Val_Autoencoder_TotalDatapoints,Val_Encoder_Loss,Val_Autoencoder_Loss,Val_Autoencoder_Total_Criterion,Val_Autoencoder_Raw_Criterion,Val_Autoencoder_Reduced_Criterion,Val_Autoencoder_Valid,Val_Autoencoder_Accuracy,Val_Autoencoder_Perfects,Example,AutoencodedExample
22,1.0,0.0,360448,0.0,0.8283987301401794,0.8283987301401794,0.8283987301401794,0.0001342845158376349,0.0,0.6534252166748047,0.0,0.001,0.001,16384,0.0,0.7713547947350889,0.7713547947350889,0.7713547947350889,0.00012259711365913972,0.0,0.6672706604003906,0.0,{-6.0}*{-13.0}<job_time_alive/{-3.0}-{5.0}-{6.0}<operation_work_required<{-3.0}>{6.0}<job_remaining_work_to_complete/{10.0}<machine_replacement_cooldown*{7.0}/{-2.0}*{-3.0}>{-11.0}EOS,{-12.0}*{-13.0}<job_time_alive/warehouse_utilization_rate-{-10.0}-{-14.0}<operation_work_required<{-15.0}>job_earliness_penalty<job_remaining_work_to_complete/job_remaining_work_to_complete<machine_replacement_cooldown*{-6.0}/{6.0}*{11.0}>{-6.0}EOS
23,1.0,0.0,376832,0.0,0.816810519201681,0.816810519201681,0.816810519201681,0.00012465066393474444,0.0,0.6580810546875,0.0,0.001,0.001,16384,0.0,0.7521723946556449,0.7521723946556449,0.7521723946556449,0.00010914787256410818,0.0,0.6741142272949219,0.0,{9.0}+{10.0}*{1.0}>{11.0}-{-1.0}+{2.0}-machine_capacity>machine_current_breakdown_rate<{-7.0}>{-11.0}>{12.0}+{11.0}+{-5.0}*{-9.0}>job_remaining_work_to_complete-{3.0}EOS,{7.0}+{12.0}*{3.0}>warehouse_utilization_rate-job_lateness_penalty+{9.0}-machine_capacity>machine_current_breakdown_rate<{-7.0}>{5.0}>{12.0}+{-4.0}+{-2.0}*{3.0}>job_remaining_work_to_complete-{3.0}EOS
24,1.0,0.0,393216,0.0,0.8009207639843225,0.8009207639843225,0.8009207639843225,0.00011219437763543283,0.0,0.6627445220947266,0.0,0.001,0.001,16384,0.0,0.7426713388413191,0.7426713388413191,0.7426713388413191,9.93434789506864e-05,0.0,0.6774864196777344,0.0,machine_cooldown+{-13.0}/{-14.0}<pair_expected_work_power/{7.0}+{10.0}<operation_windup<operation_work_required<{-11.0}*job_remaining_work_to_complete>{0.0}+job_remaining_work_to_complete>{13.0}+{-3.0}/{3.0}>pair_expected_work_powerEOS,machine_cooldown+{-13.0}/{7.0}<pair_expected_work_power/{6.0}+{12.0}<job_delivery_relaxation<operation_work_required<{-12.0}*job_remaining_work_to_complete>{0.0}+job_remaining_work_to_complete>job_lateness_penalty+machine_replacement_cooldown/machine_cooldown>pair_expected_work_powerEOS
25,1.0,0.0,409600,0.0,0.7866655860561877,0.7866655860561877,0.7866655860561877,0.00010151819250836525,0.0,0.6676921844482422,0.0,0.001,0.001,16384,0.0,0.7310806224122643,0.7310806224122643,0.7310806224122643,9.011707612671671e-05,0.0,0.6817378997802734,0.0,{0.0}/operation_work_required*{0.0}-{-13.0}>{1.0}>{8.0}-{-14.0}/{-1.0}*job_relative_deadline<{-8.0}-job_remaining_work_to_complete<{9.0}<{-11.0}+job_delivery_relaxation>{0.0}<machine_current_breakdown_rateEOS,{-9.0}/operation_work_required*{-11.0}-{-1.0}>{4.0}>{3.0}-job_remaining_work_to_complete/{-1.0}*job_relative_deadline<{-14.0}-job_remaining_work_to_complete<{-5.0}<job_relative_deadline+job_delivery_relaxation>{-3.0}<machine_current_breakdown_rateEOS
26,1.0,0.0,425984,0.0,0.7763887685723603,0.7763887685723603,0.7763887685723603,9.162893309166975e-05,0.0,0.670562744140625,0.0,0.001,0.001,16384,0.0,0.7140283240005374,0.7140283240005374,0.7140283240005374,8.227051543485686e-05,0.0,0.6865501403808594,0.0,{-11.0}*{-10.0}-{10.0}<{11.0}+{8.0}+{-2.0}*{-12.0}+{-3.0}*{2.0}+{-13.0}-{-6.0}/{-10.0}-machine_cooldown>job_remaining_work_to_complete>{-11.0}/job_earliness_penaltyEOS,{9.0}*pair_number_of_alternative_operations-job_remaining_number_of_operations<{0.0}+{-12.0}+{7.0}*{-12.0}+machine_cooldown*{11.0}+{5.0}-{12.0}/{-10.0}-machine_cooldown>job_remaining_work_to_complete>{-11.0}/job_earliness_penaltyEOS
27,1.0,0.0,442368,0.0,0.760031568352133,0.760031568352133,0.760031568352133,8.22683606713781e-05,0.0,0.6747398376464844,0.0,0.001,0.001,16384,0.0,0.6982060824520886,0.6982060824520886,0.6982060824520886,7.209093811866296e-05,0.0,0.6921100616455078,0.0,{-12.0}+{-11.0}/{14.0}+{10.0}>{-4.0}/{7.0}/{4.0}*{-15.0}-pair_expected_processing_time+{14.0}+machine_replacement_cooldown*{11.0}+{-3.0}/job_lateness_penalty*{-10.0}<{0.0}EOS,{-2.0}+{-10.0}/{0.0}+machine_replacement_cooldown>pair_number_of_alternative_operations/{-14.0}/{11.0}*{6.0}-pair_expected_processing_time+machine_current_breakdown_rate+machine_replacement_cooldown*{-7.0}+{-12.0}/job_lateness_penalty*{7.0}<{0.0}EOS
28,1.0,0.0,458752,0.0,0.7488147399853915,0.7488147399853915,0.7488147399853915,7.542506918412073e-05,0.0,0.6781806945800781,0.0,0.001,0.001,16384,0.0,0.6925435878802091,0.6925435878802091,0.6925435878802091,6.78428376517104e-05,0.0,0.6941928863525391,0.0,job_earliness_penalty/{6.0}/{13.0}<{11.0}/{0.0}-{0.0}/job_relative_deadline<{-5.0}/job_delivery_relaxation<{5.0}>{10.0}<{-11.0}+{-1.0}>{1.0}*{0.0}+{-2.0}EOS,job_earliness_penalty/{-15.0}/{14.0}<{3.0}/pair_expected_work_power-{0.0}/job_relative_deadline<job_remaining_number_of_operations/job_delivery_relaxation<operation_windup>{-6.0}<{-11.0}+{-2.0}>{1.0}*{4.0}+{-11.0}EOS
29,1.0,0.0,475136,0.0,0.7391971736215055,0.7391971736215055,0.7391971736215055,6.889216894023775e-05,0.0,0.6810379028320312,0.0,0.001,0.001,16384,0.0,0.6746487547643483,0.6746487547643483,0.6746487547643483,6.105942510714613e-05,0.0,0.6984882354736328,0.0,job_earliness_penalty*{5.0}<{10.0}-{9.0}*{7.0}<{2.0}/pair_expected_processing_time/{-8.0}*{9.0}-{8.0}-{-6.0}*machine_cooldown>{4.0}-{11.0}>machine_cooldown-{4.0}EOS,job_earliness_penalty*operation_windup<job_remaining_number_of_operations-{9.0}*{-12.0}<{-13.0}/pair_expected_processing_time/{1.0}*{0.0}-{-14.0}-{-7.0}-machine_cooldown>{-4.0}-{11.0}>machine_cooldown-{6.0}EOS
30,1.0,0.0,491520,0.0,0.7254198654554784,0.7254198654554784,0.7254198654554784,6.231422293012656e-05,0.0,0.6839160919189453,0.0,0.001,0.001,16384,0.0,0.6576003388036042,0.6576003388036042,0.6576003388036042,5.4551923668100244e-05,0.0,0.7040214538574219,0.0,operation_windup/{7.0}*{-5.0}+{-14.0}*{-3.0}-{-13.0}-{14.0}>job_delivery_relaxation*{-2.0}+{4.0}>{14.0}/{1.0}+{13.0}>job_lateness_penalty+{-7.0}<{6.0}EOS,operation_windup/{-14.0}*{7.0}+{13.0}*{14.0}-{-13.0}-{-10.0}>job_delivery_relaxation*{-2.0}+{4.0}>{13.0}/{11.0}+{-4.0}>job_lateness_penalty+job_earliness_penalty<{6.0}EOS
31,1.0,0.0,507904,0.0,0.7075567815918475,0.7075567815918475,0.7075567815918475,5.34362151967116e-05,0.0,0.6892070770263672,0.0,0.001,0.001,16384,0.0,0.6385922913905233,0.6385922913905233,0.6385922913905233,4.6011046805460865e-05,0.0,0.7093982696533203,0.0,{11.0}-{-2.0}>job_lateness_penalty>{-5.0}+{-4.0}+{-8.0}*{-14.0}<{2.0}+{11.0}/{3.0}*{8.0}>{7.0}>{-13.0}>pair_expected_work_power-{0.0}/{2.0}EOS,{-8.0}-{12.0}>job_lateness_penalty>job_lateness_penalty+{6.0}+{-5.0}*{-14.0}<{2.0}+{11.0}/operation_cooldown*pair_expected_processing_time>pair_number_of_alternative_operations>{7.0}>pair_expected_work_power-{9.0}/{12.0}EOS
